00:00:00:005:880,2,18FEF600,18FEF600,CAN - EXT,8,FF 00 54 FF FF FF FF FF,Rx,
00:00:00:008:380,2,0CF00400,0CF00400,CAN - EXT,8,51 95 94 A7 25 00 0F 95,Rx,
00:00:00:015:860,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:020:810,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:025:880,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF B8 25 F0 CC FF,Rx,
00:00:00:026:480,2,18FDB400,18FDB400,CAN - EXT,8,26 29 FF FF FF FF FF FF,Rx,
00:00:00:028:410,2,0CF00400,0CF00400,CAN - EXT,8,31 94 94 C6 25 00 0F 94,Rx,
00:00:00:030:880,2,0CF00300,0CF00300,CAN - EXT,8,D0 37 1C FF FF FF 6B FF,Rx,
00:00:00:035:850,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:036:420,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:045:850,2,18FEF100,18FEF100,CAN - EXT,8,FC 50 06 00 00 5D 00 00,Rx,
00:00:00:048:340,2,0CF00400,0CF00400,CAN - EXT,8,11 94 94 00 26 00 0F 94,Rx,
00:00:00:050:910,2,18FDB300,18FDB300,CAN - EXT,8,3C 29 FF FF FF FF FF FF,Rx,
00:00:00:055:850,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:068:280,2,0CF00400,0CF00400,CAN - EXT,8,21 94 94 1B 26 00 0F 94,Rx,
00:00:00:070:740,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:071:330,2,18FEF200,18FEF200,CAN - EXT,8,D7 00 2C 01 7E 06 FF FF,Rx,
00:00:00:075:980,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:080:730,2,18FEBF0B,18FEBF0B,CAN - EXT,8,20 08 7D 69 75 5F FF FF,Rx,
00:00:00:081:330,2,0CF00300,0CF00300,CAN - EXT,8,D0 35 1B FF FF FF 6B FF,Rx,
00:00:00:088:390,2,0CF00400,0CF00400,CAN - EXT,8,01 94 94 5A 26 00 0F 94,Rx,
00:00:00:090:850,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:095:860,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:108:330,2,0CF00400,0CF00400,CAN - EXT,8,71 94 93 8A 26 00 0F 94,Rx,
00:00:00:115:910,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:120:830,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:125:900,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 9A 26 F0 CC FF,Rx,
00:00:00:128:420,2,0CF00400,0CF00400,CAN - EXT,8,51 93 93 A9 26 00 0F 93,Rx,
00:00:00:130:890,2,0CF00300,0CF00300,CAN - EXT,8,D0 34 1A FF FF FF 6B FF,Rx,
00:00:00:135:870,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:136:490,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:145:880,2,18FEF100,18FEF100,CAN - EXT,8,FC A8 06 00 00 5D 00 00,Rx,
00:00:00:148:360,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 E2 26 00 0F 93,Rx,
00:00:00:155:900,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:168:310,2,0CF00400,0CF00400,CAN - EXT,8,31 93 93 FD 26 00 0F 93,Rx,
00:00:00:170:870,2,18FEF200,18FEF200,CAN - EXT,8,CC 00 49 01 7D 06 FF FF,Rx,
00:00:00:171:420,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:176:020,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:180:840,2,0CF00300,0CF00300,CAN - EXT,8,D0 33 19 FF FF FF 6B FF,Rx,
00:00:00:181:400,2,18FEBF0B,18FEBF0B,CAN - EXT,8,00 08 7D 6D 75 63 FF FF,Rx,
00:00:00:188:350,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 3C 27 00 0F 93,Rx,
00:00:00:190:890,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:195:890,2,18FEDF00,18FEDF00,CAN - EXT,8,87 A0 28 7D FB FF FF FF,Rx,
00:00:00:208:340,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 78 27 00 0F 93,Rx,
00:00:00:215:900,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:220:910,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:225:930,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 88 27 F0 CC FF,Rx,
00:00:00:228:410,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 9A 27 00 0F 93,Rx,
00:00:00:230:960,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 19 FF FF FF 6B FF,Rx,
00:00:00:235:930,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:236:500,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
